Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.246711254,0.000252389,6.212696116,0.0002,0,0
4.246764126,-0.001411065,6.23401887,0.0002,4.262,9.36
4.039277018,-0.995093412,6.250254736,1,3.465,23.281
4.019506433,-0.99673106,6.302175659,1,3.451,36.406
4.004763261,-0.992844635,6.361644678,1,3.438,49.625
3.992862708,-0.995956609,6.399692359,1,3.427,62.813
3.982346795,-0.994664803,6.233613052,1,3.419,75.891
3.972457811,-0.998752929,5.984853972,1,3.4,89.031
3.963740041,-0.994139792,5.857701989,1,3.391,102.141
3.955432273,-0.993796863,5.77231317,1,3.386,115.297
3.947905975,-0.994119861,5.650974084,1,3.381,128.438
3.940774901,-0.995193503,5.571673053,1,3.376,141.578
3.933846619,-0.995694148,5.51571432,1,3.37,154.719
3.927392355,-0.994085087,5.456809123,1,3.366,167.813
3.921197979,-0.995066288,5.378785108,1,3.361,180.906
3.915208327,-0.996569699,5.314407194,1,3.355,194
3.909650116,-0.995161385,5.274538338,1,3.351,207.11
3.904190136,-0.994442529,5.174515866,1,3.346,220.219
3.898996131,-0.995209348,5.129142434,1,3.341,233.313
3.893760441,-0.995748599,5.008084294,1,3.337,246.422
3.888806462,-0.994180396,5.05130076,1,3.332,259.547
3.8843693,-0.994410213,5.242850809,1,3.328,272.625
3.880096699,-0.996444529,5.386734893,1,3.324,285.75
3.876255755,-0.996192372,5.513976643,1,3.32,298.86
3.872645903,-0.993947955,5.639390669,1,3.317,311.953
3.869158006,-0.996373401,5.758325847,1,3.314,325.094
3.866015371,-0.995146487,5.832963155,1,3.311,338.172
3.862977665,-0.994359151,5.915867237,1,3.308,351.235
3.860406957,-0.995296693,5.973522128,1,3.306,364.313
3.857410361,-0.993506043,6.037473775,1,3.303,377.406
3.854711367,-0.994210052,6.112633317,1,3.301,390.516
3.852005699,-0.995061121,6.190764215,1,3.298,403.61
3.849604501,-0.995206017,6.228757753,1,3.296,416.688
3.847234478,-0.99509557,6.296519506,1,3.294,429.75
3.84500192,-0.995864331,6.341221315,1,3.292,442.875
3.842734138,-0.995628836,6.394275142,1,3.29,455.922
3.840625626,-0.996504998,6.457729511,1,3.288,469.031
3.838447189,-0.997270674,6.518485934,1,3.286,482.11
3.83645231,-0.99669339,6.573952638,1,3.284,495.235
3.834430074,-0.9949791,6.623962079,1,3.282,508.313
3.832303021,-0.995112991,6.674110924,1,3.28,521.391
3.830475961,-0.995498645,6.726003782,1,3.278,534.469
3.828399404,-0.996327731,6.804624309,1,3.276,547.578
3.826609993,-0.996265918,6.841049856,1,3.275,560.641
3.824602414,-0.995434708,6.886019578,1,3.273,573.719
3.822756321,-0.994106315,6.933161266,1,3.271,586.813
3.820908791,-0.995464334,7.000959062,1,3.27,599.969
3.819095767,-0.994671763,7.045317696,1,3.268,613.078
3.817283113,-0.995318088,7.083648584,1,3.266,626.141
3.815264179,-0.995442914,7.129010663,1,3.264,639.25
3.813663785,-0.996536928,7.189792087,1,3.262,652.36
3.8117031,-0.994996441,7.227604996,1,3.26,665.453
3.809907427,-0.996282642,7.287290052,1,3.258,678.469
3.807906799,-0.995232228,7.345077898,1,3.256,691.594
3.806119107,-0.9932865,7.377228607,1,3.254,704.719
3.804180802,-0.996467148,7.42405932,1,3.253,717.813
3.802369797,-0.994758843,7.472801408,1,3.251,730.906
3.800441005,-0.995432324,7.525452295,1,3.249,744
3.798609398,-0.997639781,7.547809576,1,3.247,757.156
3.796598385,-0.995278621,7.607205522,1,3.246,770.235
3.79467303,-0.996239983,7.630981285,1,3.244,783.281
3.792815864,-0.995386177,7.680971345,1,3.242,796.344
3.790841614,-0.997009964,7.721158202,1,3.24,809.406
3.788828704,-0.995779247,7.748127947,1,3.238,822.469
3.786995487,-0.99502996,7.80668294,1,3.236,835.61
3.784845992,-0.9953165,7.830478455,1,3.234,848.719
3.782873709,-0.995734372,7.860226617,1,3.232,861.828
3.780848584,-0.995907321,7.885436181,1,3.23,874.891
3.77869381,-0.995826285,7.916413611,1,3.228,887.969
3.776683537,-0.995068946,7.959721784,1,3.226,901.063
3.774582179,-0.994861003,7.998292255,1,3.224,914.156
3.77235441,-0.995928973,8.022614655,1,3.222,927.281
3.770197215,-0.994992622,8.059762003,1,3.22,940.391
3.768093671,-0.995308904,8.091633058,1,3.218,953.547
3.765989332,-0.995120863,8.125330274,1,3.216,966.594
3.76399034,-0.994461511,8.173968076,1,3.214,979.656
3.76196122,-0.99576928,8.197198798,1,3.212,992.719
3.759717368,-0.994474421,8.231139185,1,3.21,1005.828
3.757761723,-0.994472361,8.230115068,1,3.207,1018.953
3.755571559,-0.994123695,8.255355669,1,3.206,1032.016
3.753607861,-0.996953444,8.27964589,1,3.204,1045.078
3.751288632,-0.994342041,8.298296273,1,3.201,1058.188
3.749279095,-0.99553552,8.325840071,1,3.199,1071.313
3.747002791,-0.995782526,8.363321204,1,3.197,1084.406
3.745168287,-0.996945323,8.409383019,1,3.195,1097.563
3.74312594,-0.99567046,8.446759892,1,3.193,1110.625
3.74123751,-0.99511065,8.449758304,1,3.191,1123.703
3.739034466,-0.994685737,8.471811692,1,3.19,1136.781
3.737066859,-0.996107937,8.486003042,1,3.187,1149.875
3.735033527,-0.995285534,8.496496508,1,3.185,1162.985
3.733219737,-0.996326115,8.530907356,1,3.183,1176.047
3.731363881,-0.99383986,8.558322854,1,3.181,1189.156
3.729264025,-0.99309745,8.585014593,1,3.18,1202.235
3.72739853,-0.994956794,8.605322183,1,3.178,1215.328
3.725568493,-0.995759008,8.610200872,1,3.176,1228.516
3.723618681,-0.994244529,8.624214694,1,3.174,1241.625
3.722012688,-0.995041159,8.643997358,1,3.172,1254.75
3.720079642,-0.995401449,8.619536214,1,3.171,1267.828
3.718112635,-0.994841902,8.455470432,1,3.169,1280.875
3.716110654,-0.994151973,8.220237723,1,3.167,1293.922
3.71383577,-0.996111971,8.025831808,1,3.165,1307
3.71158011,-0.99601634,7.851163506,1,3.162,1320.11
3.708890831,-0.994211484,7.625832869,1,3.16,1333.188
3.70643228,-0.995510265,7.50200027,1,3.158,1346.328
3.703725928,-0.995912905,7.342150103,1,3.155,1359.453
3.701009577,-0.995141881,7.177924045,1,3.152,1372.5
3.698334332,-0.997487574,7.089226126,1,3.15,1385.578
3.69534887,-0.996694403,7.043927478,1,3.147,1398.656
3.69255436,-0.995332467,6.876555853,1,3.144,1411.735
3.689675003,-0.994648191,6.768934198,1,3.142,1424.875
3.686627722,-0.995078306,6.67613752,1,3.139,1437.953
3.683536323,-0.995411291,6.470160274,1,3.136,1451.063
3.680597147,-0.995696831,6.395082383,1,3.133,1464.203
3.67770478,-0.994647808,6.322070013,1,3.13,1477.297
3.67472827,-0.994971376,6.412802535,1,3.127,1490.406
3.671971776,-0.994667612,6.567600043,1,3.124,1503.531
3.669325575,-0.99412998,6.626682441,1,3.122,1516.61
3.666880385,-0.994575184,6.70811056,1,3.12,1529.656
3.664589877,-0.994930118,6.760369111,1,3.117,1542.797
3.662594042,-0.996203474,6.798377113,1,3.115,1555.875
3.660434714,-0.994856323,6.824123529,1,3.113,1568.938
3.65856436,-0.993809706,6.853671376,1,3.11,1582.016
3.656421313,-0.996352932,6.894541376,1,3.108,1595.156
3.654683098,-0.996118778,6.898831855,1,3.106,1608.203
3.652842068,-0.99600907,6.928060525,1,3.105,1621.313
3.650823768,-0.995223462,6.933217504,1,3.103,1634.453
3.649270669,-0.997401194,6.950447695,1,3.101,1647.531
3.647363334,-0.996495048,6.987606517,1,3.1,1660.61
3.645829034,-0.996827124,7.007298182,1,3.098,1673.75
3.6439,-0.994933093,7.02664866,1,3.096,1686.813
3.6424409,-0.994971225,7.044673371,1,3.094,1699.875
3.640786936,-0.994329936,7.096530368,1,3.092,1713
3.63926289,-0.993974929,7.091983188,1,3.09,1726.11
3.637602989,-0.995817976,7.105520332,1,3.089,1739.188
3.636199151,-0.996114961,7.152313213,1,3.088,1752.297
3.634581904,-0.995045071,7.169210123,1,3.086,1765.438
3.633074472,-0.99613399,7.191955335,1,3.084,1778.531
3.631587443,-0.996205714,7.213497618,1,3.082,1791.61
3.630157403,-0.996097124,7.249852754,1,3.081,1804.766
3.62894646,-0.994888952,7.268872978,1,3.08,1817.828
3.62744526,-0.995132545,7.319358565,1,3.078,1830.922
3.625995844,-0.995015585,7.339813877,1,3.078,1844.078
3.624796434,-0.995087665,7.386537779,1,3.076,1857.141
3.623276524,-0.994022547,7.401948985,1,3.075,1870.203
3.621871006,-0.995220493,7.417450891,1,3.074,1883.391
3.620455027,-0.99722021,7.434432891,1,3.072,1896.453
3.619334392,-0.995511529,7.457925471,0.9998,3.071,1909.563
3.617924651,-0.995379088,7.475872382,1,3.07,1922.625
3.616557328,-0.99610764,7.519545637,1,3.069,1935.719
3.61510803,-0.995609866,7.531754041,1,3.068,1948.797
3.614014442,-0.995168627,7.5571206,1,3.066,1961.922
3.612673145,-0.99626969,7.564529257,1,3.065,1975.031
3.611472208,-0.995031063,7.591484727,1,3.064,1988.125
3.610250884,-0.993717579,7.626175267,1,3.063,2001.219
3.608846264,-0.995398568,7.657414462,1,3.062,2014.344
3.607704541,-0.995117486,7.693010557,1,3.06,2027.485
3.606397899,-0.995722518,7.700599589,1,3.06,2040.594
3.605120792,-0.996270488,7.72684611,1,3.058,2053.656
3.603948708,-0.997029546,7.744277051,1,3.057,2066.766
3.602794254,-0.99483484,7.783965272,1,3.056,2079.922
3.601557912,-0.995235785,7.780760771,1,3.054,2092.969
3.600347149,-0.995452592,7.832797994,1,3.053,2106.047
3.599079472,-0.995774338,7.828663595,1,3.052,2119.219
3.597894443,-0.995175639,7.857382154,1,3.051,2132.313
3.596657793,-0.99511921,7.867194704,1,3.05,2145.438
3.595464034,-0.994980431,7.904033325,1,3.048,2158.531
3.594305011,-0.995419968,7.929210332,1,3.048,2171.594
3.59307682,-0.996045326,7.945056685,1,3.046,2184.703
3.592028841,-0.994854845,7.981958438,1,3.046,2197.766
3.590760547,-0.99521017,7.988535945,1,3.044,2210.875
3.589696952,-0.994522,8.004632647,1,3.043,2223.969
3.588587504,-0.995487613,8.028937993,1,3.042,2237.047
3.587371045,-0.994427088,8.057898202,1,3.041,2250.094
3.58621011,-0.994461497,8.078839961,1,3.04,2263.25
3.585018792,-0.99475548,8.089568293,1,3.038,2276.391
3.58401716,-0.994142567,8.116380509,1,3.038,2289.547
3.582869298,-0.99477816,8.150374377,1,3.036,2302.735
3.581717607,-0.994129475,8.172067197,1,3.035,2315.781
3.580567887,-0.994265379,8.201583678,1,3.034,2328.86
3.579407215,-0.995008041,8.197026272,1,3.033,2341.891
3.578299103,-0.993324898,8.219764788,1,3.032,2355
3.57729069,-0.995128661,8.233502826,1,3.031,2368.094
3.576158694,-0.994376406,8.268671945,1,3.03,2381.172
3.575049347,-0.996562056,8.301435304,1,3.028,2394.219
3.573987957,-0.993757124,8.328915485,1,3.028,2407.328
3.572947884,-0.995662721,8.344129332,1,3.027,2420.438
3.57182998,-0.994608337,8.375873203,1,3.026,2433.531
3.570917013,-0.995249078,8.391727371,1,3.024,2446.656
3.569612282,-0.995187933,8.417643187,1,3.024,2459.797
3.568617069,-0.995323329,8.443452126,1,3.022,2472.875
3.567543845,-0.994778138,8.476325306,1,3.022,2485.938
3.566512651,-0.994416107,8.49279663,1,3.02,2499.11
3.565596383,-0.994223511,8.512783316,1,3.02,2512.235
3.564504287,-0.995585824,8.521589174,1,3.018,2525.328
3.5634754,-0.994689324,8.386474798,1,3.018,2538.453
3.562278656,-0.994678936,8.1097851,1,3.016,2551.563
3.560792472,-0.994335457,7.926866331,1,3.015,2564.672
3.559283687,-0.99558194,7.723031379,1,3.013,2577.719
3.557413299,-0.994293559,7.611477249,1,3.012,2590.813
3.555665005,-0.995037099,7.440895752,1,3.01,2603.875
3.553695454,-0.995073927,7.228894507,1,3.008,2617.063
3.55167093,-0.994035771,7.108552982,1,3.006,2630.156
3.549415617,-0.995971222,6.991740674,1,3.004,2643.297
3.547451219,-0.995348657,6.863030766,1,3.002,2656.375
3.545269778,-0.998051234,6.810625001,1,3,2669.469
3.542892533,-0.997218159,6.718680697,1,2.997,2682.516
3.540572965,-0.995727862,6.684842135,1,2.995,2695.625
3.538340987,-0.994763962,6.56698948,1,2.993,2708.719
3.536107816,-0.995848981,6.480337211,1,2.991,2721.86
3.533590769,-0.995213354,6.35672672,1,2.989,2734.953
3.531413689,-0.995464639,6.27711026,1,2.986,2748.047
3.529023986,-0.993648651,6.246106821,1,2.983,2761.219
3.526736857,-0.995774707,6.39144382,1,2.981,2774.328
3.524721028,-0.996393174,6.553139061,1,2.979,2787.453
3.522720676,-0.994616341,6.623197895,1,2.977,2800.5
3.52117818,-0.9950372,6.698947948,1,2.975,2813.578
3.519492791,-0.994414097,6.777304819,1,2.974,2826.656
3.518132798,-0.994676701,6.828531112,1,2.973,2839.766
3.516606149,-0.99323746,6.866229892,1,2.971,2852.891
3.515239305,-0.995270969,6.917718124,1,2.97,2866
3.514018016,-0.995403417,6.939549754,1,2.969,2879.141
3.512733621,-0.995506374,6.983356214,1,2.967,2892.235
3.511603293,-0.995146579,7.017733389,1,2.966,2905.422
3.510676901,-0.994531115,7.06367663,1,2.965,2918.625
3.50941382,-0.995100735,7.095416941,1,2.964,2931.766
3.508582449,-0.995396022,7.118356526,1,2.963,2944.844
3.507498912,-0.994574314,7.160872693,1,2.961,2957.938
3.50642814,-0.995208697,7.20522886,1,2.961,2971.016
3.505334425,-0.995374691,7.238210683,1,2.96,2984.156
3.504547784,-0.993804518,7.278152088,1,2.959,2997.266
3.50359815,-0.995034083,7.325664768,1,2.958,3010.328
3.502804921,-0.997120056,7.377788253,1,2.957,3023.469
3.50187873,-0.994857304,7.397144035,1,2.956,3036.547
3.500971782,-0.995391434,7.406891237,1,2.955,3049.625
3.500140525,-0.995115181,7.451504089,1,2.955,3062.719
3.499212874,-0.995723318,7.48881455,1,2.953,3075.875
3.498516477,-0.995124497,7.541218379,1,2.953,3088.985
3.497737612,-0.996223488,7.585405703,1,2.952,3102.156
3.496781947,-0.996199603,7.5856488,1,2.951,3115.328
3.495946248,-0.996492227,7.647061881,1,2.951,3128.422
3.49518949,-0.995312795,7.666215447,1,2.949,3141.485
3.494529064,-0.995999799,7.704642465,1,2.949,3154.594
3.493669698,-0.995225686,7.761006683,1,2.948,3167.703
3.493036767,-1.001101348,7.79210102,1,2.947,3180.844
3.492328226,-0.994780254,7.859331457,1,2.947,3193.969
